x,y
1924474.068383266,967713.2713658245
1924474.0657366486,967713.3346053509
1924474.0624442725,967713.3978423805
1924474.060566493,967713.4359170055
1924474.0578930145,967713.5061085398
1924474.0556562594,967713.5702367129
1924474.0540144802,967713.6341402618
1924474.051157476,967713.6983485598
1924474.0483254956,967713.749395389
1924474.0464203083,967713.8079342772
1924474.0439771493,967713.8719997645
1924474.0420710896,967713.9374494991
1924474.0403228733,967713.9887893299
1924474.0376450906,967714.0534109082
1924474.0350742138,967714.1104206467
1924474.0298961636,967714.2004067289
1924474.0291233354,967714.2132352302
1924474.0259524556,967714.2650853025
1924474.021238695,967714.3285025064
1924474.0165220664,967714.3926623566
1924474.013041934,967714.4376416417
1924474.0073986792,967714.5009521098
1924474.0012365072,967714.564858821
1924473.99535807,967714.6288697802
1924473.988007219,967714.6928956793
1924473.9839852804,967714.731023907
1924473.9780543149,967714.8019455114
1924473.971194881,967714.8658082704
1924473.963921446,967714.9298550969
1924473.9585570584,967714.9811603287
1924473.950665843,967715.0446477775
1924473.9436497495,967715.1022592238
1924473.9348321492,967715.1648353947
1924473.927949428,967715.2146700728
1924473.9193649404,967715.2770821098
1924473.9113001705,967715.3386916103
1924473.9060413253,967715.3760517742
1924473.8982848402,967715.4314117547
1924473.8966091454,967715.4439273308
1924473.8898538207,967715.4942163468
1924473.8810383747,967715.5562355354
1924473.8734621536,967715.6184245468
1924473.8645174787,967715.6804638638
1924473.8579963779,967715.7236160148
1924473.8483807503,967715.7854877029
1924473.8387666377,967715.8469674432
1924473.8288396099,967715.9092092606
1924473.8185283954,967715.97060379
1924473.8123926735,967716.0076098635
1924473.8020082796,967716.0745740483
1924473.7931992158,967716.1349429085
1924473.7861400698,967716.1836422879
1924473.7764810743,967716.2433683566
1924473.7671816295,967716.3036321768
1924473.7587864855,967716.3571536739
1924473.7507221051,967716.4052921772
1924473.7409347566,967716.4648114549
1924473.7309907502,967716.5247633439
1924473.7205605903,967716.5835168484
1924473.7143530385,967716.619057962
1924473.7095631252,967716.6487045384
1924473.701661064,967716.6949457667
1924473.6912834416,967716.753472551
1924473.680724371,967716.812163671
1924473.6696192734,967716.8717810046
1924473.6613733687,967716.9201044727
1924473.6520445852,967716.974591947
1924473.6417546654,967717.0371624359
1924473.6312346654,967717.0991131542
1924473.6226718612,967717.1492301552
1924473.6124089693,967717.2114913069
1924473.6025036313,967717.2681220141
1924473.5914943668,967717.3296788814
1924473.5823653697,967717.3792573347
1924473.5708396593,967717.4407709495
1924473.559569701,967717.5029456934
1924473.5502862,967717.5523997687
1924473.5397388497,967717.6080584143
1924473.5284195454,967717.6696347179
1924473.5180047809,967717.7310907379
1924473.5071522573,967717.7921943644
1924473.5006038942,967717.8290338165
1924473.4944950487,967717.8657718138
1924473.4818404613,967717.9319845749
1924473.4699561568,967717.9927128874
1924473.4605746772,967718.0407844164
1924473.4483811278,967718.1013258706
1924473.4365990278,967718.1623433931
1924473.4257432322,967718.2176088903
1924473.416074032,967718.2666076315
1924473.4040808291,967718.3287795824
1924473.3911326996,967718.3907415527
1924473.3785203656,967718.45270482
1924473.371168313,967718.4903044513
1924473.3572126487,967718.558987717
1924473.354502785,967718.5717468499
1924473.3445434745,967718.622291676
1924473.3326233844,967718.6855985299
1924473.3200064283,967718.7487582861
1924473.3101757136,967718.7994480173
1924473.2987179318,967718.856753501
1924473.2847827522,967718.9201350849
1924473.273402135,967718.970839458
1924473.2542047603,967719.0590797819
1924473.2425150543,967719.1095560339
1924473.2303640763,967719.1657654828
1924473.2177471272,967719.2289252405
1924473.2075874736,967719.2778395698
1924473.1948160974,967719.3408543258
1924473.18231068,967719.4018896825
1924473.1723795158,967719.4518363706
1924473.1603596874,967719.5075305897
1924473.1468445703,967719.5691603025
1924473.1333269053,967719.6314501488
1924473.1193466855,967719.6931193215
1924473.1053904595,967719.7552630638
1924473.0954567401,967719.7991859544
1924473.0816294292,967719.8613920866
1924473.0675151986,967719.9243191371
1924473.0531436177,967719.986997644
1924473.0413256432,967720.0372464807
1924473.0295586903,967720.0876605518
1924473.013613062,967720.156604313
1924473.0024422016,967720.2065049551
1924472.9886665558,967720.2687112855
1924472.9857513264,967720.2811395527
1924472.9745045712,967720.3306273133
1924472.9602406984,967720.3921716189
1924472.9471631008,967720.4475316831
1924472.9356581224,967720.4969978133
1924472.9215237233,967720.5584601044
1924472.9186092918,967720.5706820802
